"schema","tableName","cols","toIgnore","explCompl","description"
"MS9ABA","AQA0006_EAPPS_TRANSACTION","33",,,""
"MS9ABA","AQA0006_EAPPS_TRANSACTION_20230428","33",,,""
"MS9ABA","AQA0008_SEC_AUCTION_PARA","10",,,""
"MS9ABA","AQA0020_AUCTION_RESULTS_REPORT","37",,,""
"MS9ABA","FINAL_DAILY_PRICE","21",,,""
"MS9ABA","FX_FACTORS","2",,,""
"MS9ABA","TEMP","2",,,""
"MS9ABA","TEMP_SUBSCRIPTION_ENTRY","28",,,""
"MS9ABA","TEMP1","2",,,""
"MS9ABA","TEST_CLOB","4",,,""
"MS9ABA","USER_SESSION","3",,,""
